iteration,story_id,story_title,passed,status,nliv_mean,csc_score,composite,sem_edge_f1,node_count,elapsed_sec
1,8,"Expand Books to L3",true,keep,0.6211766635135907,0.356783134423446,0.6300321005829151,0.0045,165,1552
2,9,"Expand Toys to L3",true,keep,0.6256701189738053,0.35226320767795466,0.6291158143552702,0.0045,183,2222
3,10,"Expand Sporting Goods to L3",true,keep,0.6227008784236621,0.43296650931405645,0.6521479929681631,0.0045,200,2272
4,11,"Expand Tools to L3",false,discard,0.6205988616610949,0.36778098008485127,0.6315014505207008,0.0045,209,1632
5,11,"Expand Tools to L3",true,keep,0.6203992877687726,0.4914608830910055,0.668056545572443,0.0045,211,2363
6,12,"Expand Pet Products to L3",false,discard,0.6278400991046638,0.22976692698559306,0.5923582031307753,0.0044,229,1402
7,12,"Expand Pet Products to L3",false,discard,0.6266302556063221,0.3891602843777549,0.6389745051183526,0.0044,227,1351
8,12,"Expand Pet Products to L3",false,discard,0.6245054492824956,0.22264201444663817,0.5888868694402216,0.0044,229,2253
9,12,"Expand Pet Products to L3",false,discard,0.627533604171541,0.3281967231925362,0.6206897477664801,0.0044,226,2624
10,12,"Expand Pet Products to L3",true,discard,0.6263058394999117,0.2765555667939691,0.6036415729899856,0.0045,223,1482
11,13,"Expand Auto Parts to L3",false,discard,0.6266470888051493,0.3292412388569846,0.6185956377430402,0.0056,233,2092
12,12,"Expand Pet Products to L3",false,keep,0.6270854306806412,0.42441459270518866,0.6490199277549435,0.0044,225,18786
